TimePeriod,BoroID,Annual mean ppb,Summer mean ppb,Winter mean ppb,Annual mean ppb_log,Summer mean ppb_log,Winter mean ppb_log,Borough_Brooklyn,Borough_Manhattan,Borough_Queens,Borough_Staten Island
2024-01-01,3,18.6,17.0,22.5,2.975529566236472,2.8903717578961645,3.1570004211501135,0.0,1.0,0.0,0.0
2024-01-01,4,14.0,11.2,19.6,2.70805020110221,2.501435951739211,3.0252910757955354,0.0,0.0,1.0,0.0
2024-01-01,1,14.6,12.8,18.6,2.747270914255491,2.624668592163159,2.975529566236472,0.0,0.0,0.0,0.0
2024-01-01,5,11.9,9.0,16.2,2.5572273113676265,2.302585092994046,2.8449093838194073,0.0,0.0,0.0,1.0
2024-01-01,2,14.6,11.4,20.4,2.747270914255491,2.517696472610991,3.0633909220278057,1.0,0.0,0.0,0.0
2023-01-01,3,19.5,16.7,22.6,3.0204248861443626,2.8735646395797834,3.1612467120315646,0.0,1.0,0.0,0.0
2023-01-01,2,16.6,12.5,21.9,2.8678989020441064,2.6026896854443837,3.131136910560194,1.0,0.0,0.0,0.0
2023-01-01,1,15.8,12.8,19.7,2.8213788864092133,2.624668592163159,3.0301337002713233,0.0,0.0,0.0,0.0
2023-01-01,4,15.5,11.5,19.3,2.803360380906535,2.5257286443082556,3.0106208860477417,0.0,0.0,1.0,0.0
2023-01-01,5,12.7,9.3,17.3,2.617395832834079,2.33214389523559,2.9069010598473755,0.0,0.0,0.0,1.0
2022-01-01,4,14.9,10.6,20.1,2.766319109226186,2.451005098112319,3.0492730404820207,0.0,0.0,1.0,0.0
2022-01-01,5,11.2,7.8,16.4,2.501435951739211,2.174751721484161,2.856470206220483,0.0,0.0,0.0,1.0
2022-01-01,1,16.0,12.2,21.8,2.833213344056216,2.580216829592325,3.126760535960395,0.0,0.0,0.0,0.0
2022-01-01,2,15.4,10.7,21.2,2.797281334830153,2.4595888418037104,3.100092288878234,1.0,0.0,0.0,0.0
2022-01-01,3,19.1,15.4,23.4,3.0007198150650303,2.797281334830153,3.1945831322991562,0.0,1.0,0.0,0.0
2021-01-01,3,20.0,16.4,23.7,3.044522437723423,2.856470206220483,3.2068032436339315,0.0,1.0,0.0,0.0
2021-01-01,2,16.7,11.5,22.7,2.8735646395797834,2.5257286443082556,3.1654750481410856,1.0,0.0,0.0,0.0
2021-01-01,4,15.5,11.0,20.7,2.803360380906535,2.4849066497880004,3.077312260546414,0.0,0.0,1.0,0.0
2021-01-01,1,16.5,12.8,19.9,2.8622008809294686,2.624668592163159,3.039749158970765,0.0,0.0,0.0,0.0
2021-01-01,5,12.8,7.7,18.7,2.624668592163159,2.163323025660538,2.9806186357439426,0.0,0.0,0.0,1.0
2020-01-01,4,14.8,10.0,22.9,2.760009940032921,2.3978952727983707,3.173878458937465,0.0,0.0,1.0,0.0
2020-01-01,5,11.6,7.8,17.9,2.533696813957432,2.174751721484161,2.9391619220655967,0.0,0.0,0.0,1.0
2020-01-01,2,16.0,10.8,25.6,2.833213344056216,2.468099531471619,3.2809112157876537,1.0,0.0,0.0,0.0
